FAKENIX_geoengineeringwatch.org,FAKENIX_clickhole.com,FAKENIX_consciouslifenews.com,FAKENIX_intellihub.com,FAKENIX_empirenews.net,FAKENIX_thefreethoughtproject.com,FAKENIX_yournewswire.com,FAKENIX_react365.com,FAKENIX_globalresearch.ca,FAKENIX_collective-evolution.com,FAKENIX_dcclothesline.com,FAKENIX_duffelblog.com,FAKENIX_occupydemocrats.com,FAKENIX_wnd.com,FAKENIX_twitchy.com,FAKENIX_hangthebankers.com,FAKENIX_flyheight.com,RNIX_theage.com.au,RNIX_adelaidenow.com.au,RNIX_heraldsun.com.au,RNIX_crikey.com.au,RNIX_au.news.yahoo,RNIX_thewest.com.au,RNIX_themercury.com.au,RNIX_afr.com,RNIX_9news.com.au,RNIX_huffingtonpost.com.au,RNIX_dailytelegraph.com.au,RNIX_couriermail.com.au,RNIX_brisbanetimes.com.au,RNIX_independentaustralia.net,RNIX_news.com.au,RNIX_ntnews.com.au,RNIX_theaustralian.com.au,RNIX_perthnow.com.au,RNIX_newmatilda.com,RNIX_canberratimes.com.au,RNIX_skynews.com.au,RNIX_watoday.com.au,RNIX_thesaturdaypaper.com.au,class
1.3952227420863452,4.632857498562024,1.2810556816327112,1.7715653986348845,1.1764691100100793,1.563673985477295,2.380789947888245,1.219268360023683,2.43504646448988,1.3771003240242723,2.408199218553338,3.2884651015752304,2.102141390184487,1.9499422065997107,1.905198776138355,2.220114781078198,1.1762298534906117,2.010864425679325,1.1355728722280447,2.1156243761524016,2.257630887677144,1.36471400973733,2.2489764850165828,1.162138474303799,2.3499121421240665,2.0739872584277865,1.7737748074019644,1.8197531455649016,1.2991536057701314,2.003952267637976,2.339757530001048,2.294716224024131,1.4616613011739423,1.925818370304648,1.588726744884147,1.919532602699576,1.6387272351824442,2.5020217135219074,1.4955652015500265,2.3255224103786203,1
1.4694670574590745,4.614790781570367,1.235116175533767,1.8103143668846744,1.1398187446573842,1.5178248743398777,2.60177256813749,1.1748310257284345,2.3675305756829506,1.3984565066701424,2.453321800289733,3.3024743947897663,2.0391290677448906,1.900283744663256,2.102315090252393,2.223120740607036,1.066651605621648,1.974902913484935,1.154580012061702,2.0316461834935264,2.332237475478504,1.1240316432658397,2.2625961425114283,1.112154802386024,2.344979120580416,2.050534088455081,1.900991002033052,1.7499707517374867,1.3602118747288072,2.041197228536667,2.309984936759681,2.259694200204953,1.4385587918142229,2.002277057671988,1.4257034880244812,1.9291296068572783,1.5327975607073303,2.546064676804293,1.5531644751206677,2.331030068531914,1
1.380819065360784,4.675900779253528,1.3430954899651335,1.7466239037748963,1.177423461487238,1.533436272624132,2.551439398489998,1.290178503366079,2.4663739530548536,1.3961094356674608,2.3737198040459666,3.270054664944353,2.076237251142652,2.0869611959747503,1.953016132046497,2.158560706233541,1.1066033671595932,2.011831570692101,1.2199722084337763,2.14434327965542,2.26215458432764,1.187736279314743,2.227652003353245,1.1134294883698397,2.422020013352506,2.0405605873451726,1.831407879944311,1.7971586391591707,1.4449933709290357,2.0329681893652625,2.282027827487344,2.196063196554824,1.4924200726257304,1.9877638822578607,1.6996548913031642,1.9372668174880527,1.5542167565967082,2.4795942379259714,1.5681917777050969,2.42347063251957,1
1.455881537294283,4.596327836805956,1.2190236352652477,1.881569898926684,1.1832248939342236,1.684245824334349,2.702700231443558,1.003016604061253,2.5306724961730502,1.4685684100495933,2.4514525095525985,3.3147699078608746,2.124956306106648,2.1526040271471727,2.0431092647959224,2.1120274217330604,1.1082552677518456,1.809057482083664,1.0941784114187694,2.0727107488178493,2.349317968187416,1.0843522702713844,2.184100910228403,1.120108961111658,2.4649214468409992,2.000510845271147,1.8414501252468911,1.6535193324113977,1.203776404562197,2.039623756534556,2.326969987075088,2.495033544223374,1.479861604734876,1.9889977277700104,1.71749934000445,2.0586338296210607,1.5972117320033792,2.5796533109669664,1.5190682020896706,2.258726277680484,0
1.360079048373625,4.6573180804588175,1.4479558737762483,1.8247392447201376,1.1251967773357316,1.6594465824474898,2.5100068345568967,1.0588763771714134,2.3706412292638985,1.4410689834520567,2.406781035692469,3.2825842147379176,2.114815295610668,2.102861612842549,1.966209895168084,2.039889859428398,1.122947447273749,1.8608047189358323,1.20547061264906,2.1621621434376577,2.265531639816269,1.259251406879294,2.2279671123064086,1.1202772533801746,2.4854371594048783,1.9585117278198787,1.920561655403049,1.946640934458042,1.24795164515807,1.9829670880035088,2.3760082962381213,2.4949512748307106,1.4772041027310787,2.0365249372550647,1.6779741687706582,2.0626021281018803,1.6796994589120655,2.535154126516568,1.6216746410080631,2.331884288332467,0
1.614359563707753,4.508716091579605,1.2635272599464873,1.8115444106041736,1.2258305406191292,1.6352983574520374,2.6477258022593952,1.11373414732942,2.506025654044812,1.4813943123875328,2.418627156454917,3.2906915084232917,1.9348891527484864,1.978978387959804,1.9914585797472055,2.0251565139239087,1.0358571312061997,1.9789888336275012,1.1056578130048682,1.9125978891226436,2.2408502220059474,1.115970064375016,2.18258995448777,1.0873720531063182,2.3541128147359918,2.0306047004396914,1.8700673582996576,1.590894941945889,1.1615762886712468,2.070669492577156,2.291300656405572,1.9932472957080896,1.5292518151084389,1.9976389337518825,1.633126363305203,1.9735973960719595,1.336025054498614,2.554787680354734,1.5789168295195175,2.3847856576593327,0
1.53368265232254,4.623067350075631,1.2631714587245586,1.7417019775998446,1.1077980222050037,1.5551912293209411,2.400605200418368,1.1632537670204726,2.27302518318926,1.4484583085916518,2.3771875147959074,3.2911892456989444,2.2525817743205474,1.8125848349702305,1.843536367168341,1.9040234996110927,1.1069787995739542,1.9481418172010168,1.1703411601557732,2.033227702529445,2.2539638716761696,0.933603161179446,2.22785658821916,1.1412994881235488,2.5719885283480184,1.934963690066765,1.56437003217327,1.93673472488989,,1.9648294472617776,2.291552390089223,2.2220938991174184,1.4886292036529756,1.9809152578883271,1.686282843116805,2.0515409043405795,1.6656217941596625,2.588936486207887,1.552900463942821,2.27659077743492,0
1.4995658930308384,4.6576015199626495,1.3234991593725318,1.7631229507907002,1.190199772361849,1.535666622480534,2.443666235443781,1.0879895192496032,2.369660451419576,1.3841706560558764,2.383632930205774,3.308336797235022,2.32082450883405,2.0817448133833847,1.8671257919608768,2.2761501384200686,1.12652320497267,1.986922441439258,1.127394091783308,2.086752422163748,2.1976846567531503,1.2333428926922054,2.255580354483865,1.0843289359594088,2.3996729494826257,1.915387435798929,1.9772988040010424,2.111368938689552,1.086439452710907,1.9981877021673145,2.253406753237617,2.271367405869273,1.498128382788742,1.796942602259106,1.6244965214178544,1.964430126695531,1.5888815681063424,2.42602561636321,1.5417315793354338,2.311323901480252,0
1.5662528891341767,4.599800191337984,1.221279990422788,1.8061002939193933,1.1875887386366322,1.6883058763379422,2.385286977317827,1.1377650747809684,2.5730741344942647,1.3910477935776453,2.3988413018422032,3.278859349041434,2.240726100580343,1.9053212334553544,1.9762962377202449,1.977177323139721,1.0628446641695342,1.9484857528653323,1.1501370628694672,2.1110384067063204,2.3343731258128217,1.1312812076887433,2.1700033127082348,1.100985721017122,2.542662711013233,1.975412490343785,1.5800595915212965,1.7799460294490677,,1.99091844453764,2.2988524154071297,2.0712716934929545,1.5239229187705527,1.9412411411245991,1.690272123432933,2.081424863912228,1.806644731643105,2.536761112847838,1.5769776550280643,2.281827726890696,0
1.5732145906351829,4.602584798429484,1.3027178304774396,1.7692467244972383,1.2557311948437948,1.6281664969539902,2.471939448973097,1.1477422071040284,2.502310667342161,1.4301037580195164,2.4008859028520737,3.2391660303117558,2.257450683160624,2.0127158540140964,1.889982867270071,1.978070527228452,1.1210409263601542,1.830161054621256,1.1494936751540878,2.117220608901454,2.323586642268833,1.1576683646855477,2.204905561421395,1.075851983075533,2.422952089004364,1.823837588992188,1.5188304464676383,1.7412990830053436,1.054902989049611,2.08629718033826,2.3221581949989973,2.1896994059613197,1.5445474929748966,1.9264591394778523,1.6504485734504586,1.9876363846535503,1.632263583268118,2.5421270832024,1.6147592659468044,2.234912750102673,0
